"","url","observation","date","id_code","count","max_at_once","notes"
"2327","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","083 fairy prion pachyptila turtur 6 (6)","24th-july-2005","083","6","6",NA
"2328","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","068 fluttering shearwater puffinus gavia 8 (6)","24th-july-2005","068","8","6",NA
"2329","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","845 tristan albatross diomedea dabeneena 2 (2) adult males","24th-july-2005","845","2","2","adult males"
"2330","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","847 gibsons albatross diomedea gibsoni 2 (2) adult females","24th-july-2005","847","2","2","adult females"
"2331","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","088 black-browed albatross thalassarche melanophrys 31 (10)","24th-july-2005","088","31","10",NA
"2332","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","859 campbell albatross t. impavida 2 (1)","24th-july-2005","859","2","1",NA
"2333","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","864 indic yellow-nosed albatross t.carteri 46 (11)","24th-july-2005","864","46","11",NA
"2334","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","104 australasian gannet morus serrator 7 (4)","24th-july-2005","104","7","4",NA
"2335","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","096 great cormorant phalacrocorax carbo 2 (2)","24th-july-2005","096","2","2",NA
"2336","http://www.sossa-international.org/forum/content.php?255-24th-july-2005-sossa-pelagic-trip-wollongong-nsw-australia&s=5473079d3bd648549fadabc29ea0ee6f","106 australian pelican pelicanus conspicillatus 3 (3)","24th-july-2005","106","3","3",NA
